,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,25,94,97,2169,Argentina,FC Barcelona
1,Cristiano Ronaldo,27,92,95,2220,Portugal,Real Madrid
2,Falcao,26,90,92,2062,Colombia,Atlético Madrid
3,F. Ribéry,29,90,90,2063,France,FC Bayern München
4,Xavi,32,90,90,2152,Spain,FC Barcelona
5,Iniesta,28,90,92,2134,Spain,FC Barcelona
6,Z. Ibrahimović,30,89,89,2113,Sweden,Paris Saint-Germain
7,R. van Persie,28,89,89,2062,Netherlands,Manchester United
8,David Silva,26,88,90,2060,Spain,Manchester City
9,Casillas,31,88,89,1256,Spain,Real Madrid
10,E. Cavani,25,87,89,2116,Uruguay,Napoli
11,M. Özil,23,87,90,1976,Germany,Real Madrid
12,S. Agüero,24,87,89,2050,Argentina,Manchester City
13,N. Vidić,30,87,87,1795,Serbia,Manchester United
14,B. Schweinsteiger,27,87,88,2277,Germany,FC Bayern München
15,P. Lahm,28,87,87,2163,Germany,FC Bayern München
16,W. Rooney,26,87,87,2204,England,Manchester United
17,A. Robben,28,87,87,2087,Netherlands,FC Bayern München
18,A. Pirlo,33,87,87,2111,Italy,Juventus
19,G. Buffon,34,87,87,1318,Italy,Juventus
20,A. Di María,24,86,88,2158,Argentina,Real Madrid
21,Juan Mata,24,86,88,2004,Spain,Chelsea
22,L. Suárez,25,86,87,2261,Uruguay,Liverpool
23,G. Bale,22,86,91,2294,Wales,Tottenham Hotspur
24,M. Neuer,26,86,91,1343,Germany,FC Bayern München
25,Thiago Silva,27,86,88,2160,Brazil,Paris Saint-Germain
26,Cesc Fàbregas,25,86,88,2168,Spain,FC Barcelona
27,Sergio Ramos,26,86,88,2126,Spain,Real Madrid
28,Piqué,25,86,88,1941,Spain,FC Barcelona
29,M. Gomez,26,86,86,1922,Germany,FC Bayern München
30,C. Tévez,28,86,86,2207,Argentina,Manchester City
31,W. Sneijder,28,86,86,2183,Netherlands,Galatasaray SK
32,V. Kompany,26,86,88,1981,Belgium,Manchester City
33,Xabi Alonso,30,86,86,2158,Spain,Real Madrid
34,Y. Touré,29,86,86,2241,Ivory Coast,Manchester City
35,M. Götze,20,85,92,2013,Germany,Borussia Dortmund
36,Sergio Busquets,23,85,87,2028,Spain,FC Barcelona
37,R. Lewandowski,23,85,88,1973,Poland,Borussia Dortmund
38,E. Hazard,21,85,90,2063,Belgium,Chelsea
39,A. Vidal,25,85,88,2309,Chile,Juventus
40,M. Hummels,23,85,88,2020,Germany,Borussia Dortmund
41,C. Marchisio,26,85,88,2269,Italy,Juventus
42,M. Hamšik,24,85,88,2189,Slovakia,Napoli
43,H. Lloris,25,85,88,1254,France,Tottenham Hotspur
44,K. Benzema,24,85,87,1954,France,Real Madrid
45,R. Montolivo,27,85,85,2150,Italy,Milan
46,Santi Cazorla,27,85,85,2049,Spain,Arsenal
47,Jesús Navas,26,85,86,1964,Spain,Sevilla FC
48,J. Mascherano,28,85,87,2056,Argentina,FC Barcelona
49,G. Chiellini,27,85,88,1987,Italy,Juventus
50,A. Barzagli,31,85,85,1868,Italy,Juventus
51,D. De Rossi,28,85,85,2261,Italy,Roma
52,Puyol,34,85,85,1888,Spain,FC Barcelona
53,T. Müller,22,84,86,2061,Germany,FC Bayern München
54,Pedro,24,84,88,2000,Spain,FC Barcelona
55,M. Reus,23,84,88,2070,Germany,Borussia Dortmund
56,T. Kroos,22,84,87,2078,Germany,FC Bayern München
57,S. Jovetić,22,84,88,2057,Montenegro,Fiorentina
58,Hernanes,27,84,85,2211,Brazil,Lazio
59,S. Khedira,25,84,86,2070,Germany,Real Madrid
60,L. Modrić,26,84,88,2199,Croatia,Real Madrid
61,L. Modrić,26,84,88,2199,Croatia,Real Madrid
62,S. Sirigu,25,84,85,1263,Italy,Paris Saint-Germain
63,G. Higuaín,24,84,87,1873,Argentina,Real Madrid
64,S. Nasri,25,84,85,2048,France,Manchester City
65,E. Lavezzi,27,84,86,2054,Argentina,Paris Saint-Germain
66,Dante,28,84,84,2019,Brazil,FC Bayern München
67,J. Farfán,27,84,85,2081,Peru,FC Schalke 04
68,J. Hart,25,84,86,1338,England,Manchester City
69,Soldado,27,84,84,2036,Spain,Valencia CF
70,Dani Alves,29,84,84,2235,Brazil,FC Barcelona
71,A. Turan,25,84,88,2078,Turkey,Atlético Madrid
72,F. Marchetti,29,84,85,1322,Italy,Lazio
73,Nani,25,84,86,1978,Portugal,Manchester United
74,Diego,27,84,85,2048,Brazil,VfL Wolfsburg
75,R. Adler,27,84,85,1229,Germany,Hamburger SV
76,Pepe,29,84,84,1872,Portugal,Real Madrid
77,A. Di Natale,34,84,84,2119,Italy,Udinese
78,Victor Valdés,30,84,84,1274,Spain,FC Barcelona
79,P. Čech,30,84,84,1255,Czech Republic,Chelsea
80,R. van der Vaart,29,84,84,2019,Netherlands,Hamburger SV
81,A. Cole,31,84,84,2137,England,Chelsea
82,M. Klose,34,84,84,1921,Germany,Lazio
83,S. Eto'o,31,84,84,2087,Cameroon,FC Anzhi Makhachkala
84,Isco,20,83,87,1978,Spain,Málaga CF
85,T. Courtois,20,83,88,1303,Belgium,Atlético Madrid
86,Neymar,20,83,91,2052,Brazil,Santos
87,Hulk,25,83,88,2170,Brazil,Zenit St. Petersburg
88,S. Kagawa,23,83,86,1906,Japan,Manchester United
89,M. Balotelli,21,83,90,1993,Italy,Milan
90,A. Sánchez,23,83,86,2043,Chile,FC Barcelona
91,A. Rami,26,83,87,1867,France,Valencia CF
92,M. Mandžukić,26,83,84,1973,Croatia,FC Bayern München
93,E. Džeko,26,83,84,1909,Bosnia Herzegovina,Manchester City
94,B. Ivanović,28,83,83,1933,Serbia,Chelsea
95,Javi Martínez,23,83,86,2038,Spain,FC Bayern München
96,K. Boateng,25,83,86,2258,Ghana,Milan
97,A. Valencia,26,83,83,2057,Ecuador,Manchester United
98,A. Diamanti,29,83,83,2020,Italy,Bologna
99,S. Mandanda,27,83,86,1189,France,Olympique de Marseille
100,S. Handanovič,27,83,85,1311,Slovenia,Inter
101,João Moutinho,25,83,86,2259,Portugal,FC Porto
102,Fernando Llorente,27,83,83,1870,Spain,Athletic Club de Bilbao
103,Borja Valero,27,83,84,2136,Spain,Fiorentina
104,A. Song,24,83,84,2050,Cameroon,FC Barcelona
105,D. Agger,27,83,83,1983,Denmark,Liverpool
106,K. Huntelaar,28,83,83,1881,Netherlands,FC Schalke 04
107,I. Akinfeev,26,83,85,1235,Russia,PFC CSKA Moscow
108,Negredo,26,83,83,1930,Spain,Sevilla FC
109,D. Milito,33,83,83,1962,Argentina,Inter
110,Kaká,30,83,83,1892,Brazil,Real Madrid
111,David Villa,30,83,83,2038,Spain,FC Barcelona
112,M. Vučinić,28,83,83,2087,Montenegro,Juventus
113,Júlio César,32,83,83,1270,Brazil,Queens Park Rangers
114,D. Drogba,34,83,83,1982,Ivory Coast,Galatasaray SK
115,José Reina,29,83,83,1254,Spain,Liverpool
116,W. Samuel,34,83,83,1741,Argentina,Inter
117,S. Gerrard,32,83,83,2221,England,Liverpool
118,J. Terry,31,83,83,1747,England,Chelsea
119,A. Cassano,29,83,83,1975,Italy,Inter
120,R. Ferdinand,33,83,83,1761,England,Manchester United
124,Lucas,19,82,90,2061,Brazil,Paris Saint-Germain
125,J. Rodríguez,20,82,89,2118,Colombia,FC Porto
126,H. Badstuber,23,82,85,1930,Germany,FC Bayern München
127,S. El Shaarawy,19,82,87,2079,Italy,Milan
128,J. Wilshere,20,82,89,2173,England,Arsenal
129,Jordi Alba,23,82,84,2207,Spain,FC Barcelona
130,Oscar,20,82,88,1891,Brazil,Chelsea
131,I. Gündoğan,21,82,87,2182,Germany,Borussia Dortmund
132,N. Subotić,23,82,84,1912,Serbia,Borussia Dortmund
133,A. Chedjou,27,82,84,1960,Cameroon,LOSC Lille
134,D. Godín,26,82,84,1897,Uruguay,Atlético Madrid
