,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,158023,L. Messi,27,https://cdn.sofifa.org/players/4/15/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,93,93,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€100.5M,€550K,2163
1,20801,Cristiano Ronaldo,29,https://cdn.sofifa.org/players/4/15/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,92,92,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€78.5M,€375K,2215
2,167495,M. Neuer,28,https://cdn.sofifa.org/players/4/15/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€63.5M,€290K,1532
3,9014,A. Robben,30,https://cdn.sofifa.org/players/4/15/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,90,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€54.5M,€265K,2128
4,176580,L. Suárez,27,https://cdn.sofifa.org/players/4/15/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,89,89,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€49.5M,€300K,2266
5,41236,Z. Ibrahimović,32,https://cdn.sofifa.org/players/4/15/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,89,89,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€34.5M,€265K,2134
6,41,Iniesta,30,https://cdn.sofifa.org/players/4/15/41.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€36M,€245K,2137
7,183277,E. Hazard,23,https://cdn.sofifa.org/players/4/15/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,88,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€40.5M,€195K,2084
8,156616,F. Ribéry,31,https://cdn.sofifa.org/players/4/15/156616.png,France,https://cdn.sofifa.org/flags/18.png,88,88,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€33M,€190K,2042
9,121944,B. Schweinsteiger,29,https://cdn.sofifa.org/players/4/15/121944.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€39M,€185K,2304
10,188545,R. Lewandowski,25,https://cdn.sofifa.org/players/4/15/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,87,89,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€44M,€205K,2095
11,183907,J. Boateng,25,https://cdn.sofifa.org/players/4/15/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,87,89,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€35.5M,€190K,1986
12,177003,L. Modrić,28,https://cdn.sofifa.org/players/4/15/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,87,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€36.5M,€215K,2244
13,173731,G. Bale,24,https://cdn.sofifa.org/players/4/15/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,87,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€42.5M,€205K,2261
14,168542,David Silva,28,https://cdn.sofifa.org/players/4/15/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€40M,€235K,1985
15,164240,Thiago Silva,29,https://cdn.sofifa.org/players/4/15/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€29M,€185K,2147
16,155862,Sergio Ramos,28,https://cdn.sofifa.org/players/4/15/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€31.5M,€215K,2118
17,153079,S. Agüero,26,https://cdn.sofifa.org/players/4/15/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,87,89,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€45.5M,€230K,2076
18,121939,P. Lahm,30,https://cdn.sofifa.org/players/4/15/121939.png,Germany,https://cdn.sofifa.org/flags/21.png,87,87,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€24.5M,€185K,2188
19,198710,J. Rodríguez,22,https://cdn.sofifa.org/players/4/15/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,92,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€35M,€195K,2116
20,193080,De Gea,23,https://cdn.sofifa.org/players/4/15/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,86,89,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€31M,€165K,1412
21,192119,T. Courtois,22,https://cdn.sofifa.org/players/4/15/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€27M,€150K,1397
22,190871,Neymar,22,https://cdn.sofifa.org/players/4/15/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,91,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€31M,€220K,2035
23,189596,T. Müller,24,https://cdn.sofifa.org/players/4/15/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,88,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€42.5M,€215K,2151
24,188350,M. Reus,25,https://cdn.sofifa.org/players/4/15/188350.png,Germany,https://cdn.sofifa.org/flags/21.png,86,88,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€40M,€175K,2143
25,178603,M. Hummels,25,https://cdn.sofifa.org/players/4/15/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,86,88,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€35.5M,€190K,2047
26,176635,M. Özil,25,https://cdn.sofifa.org/players/4/15/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,86,87,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€44M,€185K,1952
27,167397,Falcao,28,https://cdn.sofifa.org/players/4/15/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,86,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€40M,€230K,2035
28,139720,V. Kompany,28,https://cdn.sofifa.org/players/4/15/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€31.5M,€215K,1959
29,54050,W. Rooney,28,https://cdn.sofifa.org/players/4/15/54050.png,England,https://cdn.sofifa.org/flags/14.png,86,86,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€40M,€230K,2195
30,10535,Xavi,34,https://cdn.sofifa.org/players/4/15/10535.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€15.5M,€150K,2104
31,192985,K. De Bruyne,23,https://cdn.sofifa.org/players/4/15/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,88,VfL Wolfsburg,https://cdn.sofifa.org/teams/2/light/175.png,€23M,€125K,2115
32,192318,M. Götze,22,https://cdn.sofifa.org/players/4/15/192318.png,Germany,https://cdn.sofifa.org/flags/21.png,85,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€21M,€155K,2011
33,189511,Sergio Busquets,25,https://cdn.sofifa.org/players/4/15/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,85,88,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€20M,€170K,2026
34,184941,A. Sánchez,25,https://cdn.sofifa.org/players/4/15/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,85,87,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€26.5M,€165K,2119
35,183898,A. Di María,26,https://cdn.sofifa.org/players/4/15/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,85,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€27M,€210K,2166
36,182521,T. Kroos,24,https://cdn.sofifa.org/players/4/15/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,85,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€23M,€170K,2153
37,181872,A. Vidal,27,https://cdn.sofifa.org/players/4/15/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,85,87,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€23M,€190K,2265
38,179844,Diego Costa,25,https://cdn.sofifa.org/players/4/15/179844.png,Spain,https://cdn.sofifa.org/flags/45.png,85,86,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€26.5M,€165K,1997
39,179813,E. Cavani,27,https://cdn.sofifa.org/players/4/15/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,85,85,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€25.5M,€205K,2080
40,178088,Juan Mata,26,https://cdn.sofifa.org/players/4/15/178088.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€27M,€185K,2002
41,167948,H. Lloris,27,https://cdn.sofifa.org/players/4/15/167948.png,France,https://cdn.sofifa.org/flags/18.png,85,85,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€21M,€140K,1422
42,165153,K. Benzema,26,https://cdn.sofifa.org/players/4/15/165153.png,France,https://cdn.sofifa.org/flags/18.png,85,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€27M,€205K,2006
43,162895,Cesc Fàbregas,27,https://cdn.sofifa.org/players/4/15/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€23M,€170K,2161
44,146562,Santi Cazorla,29,https://cdn.sofifa.org/players/4/15/146562.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€22.5M,€160K,2117
45,143001,C. Tévez,30,https://cdn.sofifa.org/players/4/15/143001.png,Argentina,https://cdn.sofifa.org/flags/52.png,85,85,Boca Juniors,https://cdn.sofifa.org/teams/2/light/1877.png,€21M,€110K,2167
46,48940,P. Čech,32,https://cdn.sofifa.org/players/4/15/48940.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,85,85,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€18M,€165K,1361
47,45197,Xabi Alonso,32,https://cdn.sofifa.org/players/4/15/45197.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€11.5M,€165K,2133
48,20289,Y. Touré,31,https://cdn.sofifa.org/players/4/15/20289.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,85,85,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€17M,€165K,2246
49,7826,R. van Persie,30,https://cdn.sofifa.org/players/4/15/7826.png,Netherlands,https://cdn.sofifa.org/flags/34.png,85,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€21M,€180K,2020
50,195864,P. Pogba,21,https://cdn.sofifa.org/players/4/15/195864.png,France,https://cdn.sofifa.org/flags/18.png,84,91,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€18.5M,€135K,2239
51,188152,Oscar,22,https://cdn.sofifa.org/players/4/15/188152.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,88,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€21M,€155K,1987
52,182493,D. Godín,28,https://cdn.sofifa.org/players/4/15/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,84,84,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€19M,€170K,1907
53,179846,S. Khedira,27,https://cdn.sofifa.org/players/4/15/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,84,86,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€19.5M,€170K,2064
54,177610,Javi Martinez,25,https://cdn.sofifa.org/players/4/15/177610.png,Spain,https://cdn.sofifa.org/flags/45.png,84,85,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€21M,€150K,2006
