,Name,Age,Overall,Potential,Special,Nationality,Club
0,Cristiano Ronaldo,31,94,94,2223,Portugal,Real Madrid
1,L. Messi,29,93,93,2155,Argentina,FC Barcelona
2,Neymar,24,92,94,2098,Brazil,FC Barcelona
3,L. Suárez,29,92,92,2291,Uruguay,FC Barcelona
4,M. Neuer,30,92,92,1491,Germany,FC Bayern München
5,De Gea,25,90,92,1421,Spain,Manchester United
6,R. Lewandowski,27,90,90,2122,Poland,FC Bayern München
7,G. Bale,26,90,90,2266,Wales,Real Madrid
8,Z. Ibrahimović,34,90,90,2117,Sweden,Manchester United
9,T. Courtois,24,89,92,1282,Belgium,Chelsea
10,J. Boateng,27,89,89,2005,Germany,FC Bayern München
11,E. Hazard,25,89,90,2086,Belgium,Chelsea
12,L. Modrić,30,89,89,2231,Croatia,Real Madrid
13,M. Özil,27,89,89,1932,Germany,Arsenal
14,G. Higuaín,28,89,89,1949,Argentina,Juventus
15,Thiago Silva,31,89,89,2144,Brazil,Paris Saint-Germain
16,Sergio Ramos,30,89,89,2145,Spain,Real Madrid
17,S. Agüero,28,89,89,2066,Argentina,Manchester City
18,P. Pogba,23,88,94,2271,France,Manchester United
19,A. Griezmann,25,88,91,2103,France,Atlético Madrid
20,K. De Bruyne,25,88,91,2138,Belgium,Manchester City
21,M. Reus,27,88,88,2165,Germany,Borussia Dortmund
22,A. Sánchez,27,88,88,2176,Chile,Arsenal
23,T. Kroos,26,88,89,2108,Germany,Real Madrid
24,D. Godín,30,88,88,1932,Uruguay,Atlético Madrid
25,M. Hummels,27,88,88,2031,Germany,FC Bayern München
26,H. Lloris,29,88,88,1275,France,Tottenham Hotspur
27,G. Chiellini,31,88,88,1853,Italy,Juventus
28,Pepe,33,88,88,1856,Portugal,Real Madrid
29,P. Čech,34,88,88,1218,Czech Republic,Arsenal
30,G. Buffon,38,88,88,1327,Italy,Juventus
31,Iniesta,32,88,88,2083,Spain,FC Barcelona
32,J. Oblak,23,87,91,1287,Slovenia,Atlético Madrid
33,J. Rodríguez,24,87,90,2117,Colombia,Real Madrid
34,P. Aubameyang,27,87,87,2080,Gabon,Borussia Dortmund
35,L. Bonucci,29,87,87,1990,Italy,Juventus
36,A. Vidal,29,87,87,2285,Chile,FC Bayern München
37,I. Rakitić,28,87,87,2136,Croatia,FC Barcelona
38,David Silva,30,87,87,1975,Spain,Manchester City
39,S. Handanovič,31,87,87,1264,Slovenia,Inter
40,Piqué,29,87,87,1980,Spain,FC Barcelona
41,A. Robben,32,87,87,2077,Netherlands,FC Bayern München
42,P. Dybala,22,86,93,2063,Argentina,Juventus
43,M. Verratti,23,86,90,2151,Italy,Paris Saint-Germain
44,D. Alaba,24,86,89,2279,Austria,FC Bayern München
45,H. Mkhitaryan,27,86,86,2159,Armenia,Manchester United
46,B. Leno,24,86,89,1250,Germany,Bayer 04 Leverkusen
47,C. Eriksen,24,86,90,2049,Denmark,Tottenham Hotspur
48,T. Müller,26,86,86,2080,Germany,FC Bayern München
49,Sergio Busquets,27,86,86,2002,Spain,FC Barcelona
50,Thiago,25,86,88,2171,Spain,FC Bayern München
51,Jordi Alba,27,86,86,2214,Spain,FC Barcelona
52,Coutinho,24,86,89,2041,Brazil,Liverpool
53,A. Di María,28,86,86,2144,Argentina,Paris Saint-Germain
54,Diego Costa,27,86,86,1992,Spain,Chelsea
55,E. Cavani,29,86,86,2086,Uruguay,Paris Saint-Germain
56,R. Nainggolan,28,86,86,2290,Belgium,Roma
57,Marcelo,28,86,86,2201,Brazil,Real Madrid
58,C. Marchisio,30,86,86,2218,Italy,Juventus
59,M. Hamšik,28,86,86,2171,Slovakia,Napoli
60,Miranda,31,86,86,1878,Brazil,Inter
61,Miranda,31,86,86,1878,Brazil,Inter
62,K. Benzema,28,86,86,1954,France,Real Madrid
63,Cesc Fàbregas,29,86,86,2118,Spain,Chelsea
64,F. Ribéry,33,86,86,1979,France,FC Bayern München
65,V. Kompany,30,86,86,1919,Belgium,Manchester City
66,A. Barzagli,35,86,86,1800,Italy,Juventus
67,H. Kane,22,85,90,2038,England,Tottenham Hotspur
68,Isco,24,85,89,2081,Spain,Real Madrid
69,A. Lacazette,25,85,88,2088,France,Olympique Lyonnais
70,K. Navas,29,85,85,1301,Costa Rica,Real Madrid
71,R. Lukaku,23,85,90,1981,Belgium,Everton
72,I. Gündoğan,25,85,87,2156,Germany,Manchester City
73,T. Alderweireld,27,85,86,2035,Belgium,Tottenham Hotspur
74,Willian,27,85,85,2042,Brazil,Chelsea
75,M. Pjanić,26,85,86,2170,Bosnia Herzegovina,Juventus
76,Juan Mata,28,85,85,1997,Spain,Manchester United
77,Javi Martinez,27,85,86,1968,Spain,FC Bayern München
78,D. Payet,29,85,85,2080,France,Olympique de Marseille
79,D. Mertens,29,85,85,2015,Belgium,Napoli
80,Sokratis,28,85,85,1884,Greece,Borussia Dortmund
81,B. Matuidi,29,85,85,2174,France,Paris Saint-Germain
82,S. Ruffier,29,85,85,1256,France,AS Saint-Étienne
83,L. Koscielny,30,85,85,1883,France,Arsenal
84,Filipe Luís,30,85,85,2136,Brazil,Atlético Madrid
85,Santi Cazorla,31,85,85,2140,Spain,Arsenal
86,A. Laporte,22,84,88,1922,France,Athletic Club de Bilbao
87,Y. Carrasco,22,84,88,1985,Belgium,Atlético Madrid
88,Carvajal,24,84,87,2040,Spain,Real Madrid
89,R. Mahrez,25,84,85,1953,Algeria,Leicester City
90,R. Varane,23,84,91,1867,France,Real Madrid
91,M. Icardi,23,84,89,1855,Argentina,Inter
92,Casemiro,24,84,88,2128,Brazil,Real Madrid
93,L. Insigne,25,84,85,1935,Italy,Napoli
94,Koke,24,84,88,2132,Spain,Atlético Madrid
95,K. Manolas,25,84,86,1640,Greece,Roma
96,D. Subašić,31,84,84,1295,Croatia,AS Monaco
97,M. ter Stegen,24,84,88,1271,Germany,FC Barcelona
